Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Size,Genres,Original Release Date
Sudoku,4.0,3553.0,2.99,,Mighty Mighty Good Games,4+,15853568.0,"Games, Strategy, Puzzle",11/07/2008
Reversi,3.5,284.0,1.99,,Kiss The Machine,4+,12328960.0,"Games, Strategy, Board",11/07/2008
Morocco,3.0,8376.0,0.0,,Bayou Games,4+,674816.0,"Games, Board, Strategy",11/07/2008
Sudoku (Free),3.5,190394.0,0.0,,Mighty Mighty Good Games,4+,21552128.0,"Games, Strategy, Puzzle",23/07/2008
Senet Deluxe,3.5,28.0,2.99,,RoGame Software,4+,34689024.0,"Games, Strategy, Board, Education",18/07/2008
Sudoku - Classic number puzzle,3.0,47.0,0.0,1.99,OutOfTheBit Ltd,4+,48672768.0,"Games, Entertainment, Strategy, Puzzle",30/07/2008
Gravitation,2.5,35.0,0.0,,Robert Farnum,4+,6328320.0,"Games, Entertainment, Puzzle, Strategy",30/07/2008
Colony,2.5,125.0,0.99,,Chris Haynes,4+,64333824.0,"Games, Strategy, Board",3/08/2008
Carte,2.5,44.0,0.0,,Jean-Francois Pautex,4+,2657280.0,"Games, Strategy, Board, Entertainment",3/08/2008
"""Barrels O' Fun""",2.5,184.0,0.0,,BesqWare,4+,1466515.0,"Games, Casual, Strategy",1/08/2008
Quaddraxx,,,0.0,,H2F Informationssysteme GmbH,4+,3089867.0,"Games, Entertainment, Strategy, Puzzle",11/08/2008
Lumen Lite,3.5,5072.0,0.0,,Bridger Maxwell,4+,7086403.0,"Games, Puzzle, Strategy",18/08/2008
BubblePop,3.0,526.0,0.0,,TMSOFT,4+,845008.0,"Games, Strategy, Entertainment",22/08/2008
Marple,3.5,989.0,0.99,,Mikko Kankainen,4+,3643392.0,"Games, Puzzle, Strategy",28/08/2008
Tetravex Lite,2.5,2358.0,0.0,,Futrell Software,4+,731525.0,"Games, Puzzle, Strategy, Entertainment",27/08/2008
Awele/Oware - Mancala HD,3.0,112.0,0.0,0.99,SOLILAB,4+,122826752.0,"Games, Strategy, Board",31/08/2008
Awele/Oware - Mancala HD,3.0,112.0,0.0,0.99,SOLILAB,4+,122826752.0,"Games, Strategy, Board",31/08/2008
Chess Game,3.0,504.0,0.0,,Memention Holding AB,4+,444163.0,"Games, Board, Strategy",2/09/2008
Catcha Mouse,3.5,95971.0,0.0,"1.99, 0.99, 1.99, 0.99, 4.99, 1.99, 1.99","Meme, Inc",4+,26820692.0,"Games, Puzzle, Strategy",19/02/2009
"Cool Sudoku, Jigsaw, Killer",3.5,357.0,0.0,"0.99, 0.99, 0.99",Splash Software Ltd.,4+,52236288.0,"Games, Strategy, Puzzle, Entertainment",24/09/2008
Mind the Corners,3.0,7.0,0.99,,Zentropy Software,4+,1530880.0,"Games, Strategy, Entertainment, Board",19/09/2008
All You Can Eat,2.0,30.0,0.99,,Armin Heinrich,9+,4341760.0,"Entertainment, Games, Casual, Strategy",24/09/2008
Ane Rouge,,,0.0,,Jean-Francois Pautex,4+,1190912.0,"Games, Puzzle, Education, Strategy",27/09/2008
Neiscat,,,0.99,,Frederic Bronner,4+,8806400.0,"Games, Board, Entertainment, Strategy",29/09/2008
Boomshine,4.0,637.0,0.99,,TwoDesk Software Company,4+,22873088.0,"Games, Puzzle, Entertainment, Strategy",7/10/2008
Gaia Lite,3.5,1563.0,0.0,,Quicksand Interactive,4+,6550985.0,"Games, Strategy, Puzzle",2/10/2008
Fieldrunners,4.0,41869.0,2.99,"0.99, 0.99, 0.99, 0.99","Subatomic Studios, LLC",9+,75041792.0,"Games, Entertainment, Action, Strategy",5/10/2008
Lux Touch 3 - World Domination,3.5,72428.0,0.0,,Sillysoft Games,9+,55071744.0,"Games, Entertainment, Strategy, Board",7/10/2008
"""Don't Square""",2.5,190.0,0.99,,Solid Apps GmbH,4+,4357120.0,"Games, Board, Entertainment, Strategy",12/10/2008
Smart Rummy,2.5,69.0,2.99,,Pramod Shankar,4+,44329984.0,"Games, Strategy, Card, Entertainment",4/11/2008
Expert Sudoku,4.0,523.0,2.99,,Mighty Mighty Good Games,4+,9543680.0,"Games, Strategy, Entertainment, Puzzle",21/10/2008
Edgewise,3.5,23.0,0.0,"1.99, 0.99",Greggy Bits Software,4+,1298432.0,"Games, Card, Strategy",25/10/2008
Chess Genius,4.0,156.0,5.99,,Lang Software Limited,4+,1751040.0,"Games, Strategy, Board, Entertainment",8/11/2008
Chess - tChess Pro,4.0,3062.0,7.99,,Tom Kerrigan,4+,7517184.0,"Games, Board, Entertainment, Strategy",5/11/2008
Toobz,3.5,2425.0,0.99,,Jason Haslup,4+,9641984.0,"Games, Strategy, Puzzle",5/11/2008
Color Sudoku,3.5,518.0,2.99,,Mighty Mighty Good Games,4+,15837184.0,"Games, Puzzle, Entertainment, Strategy",14/11/2008
Chess - tChess Lite,3.5,5488.0,0.99,,Tom Kerrigan,4+,5874688.0,"Games, Strategy, Entertainment, Board",15/11/2008
Checkers Online Lite,2.5,3521.0,0.0,,EUROCENTER,4+,9402423.0,"Games, Strategy, Board",29/11/2008
TapDefense,3.5,273687.0,0.0,"0.99, 2.99, 1.99",TapJoy,9+,7774384.0,"Games, Strategy, Entertainment, Simulation",24/11/2008
Chinese Chess (Xiangqi),3.0,67.0,0.99,,Easy 8 Software,4+,12423168.0,"Games, Strategy, Board",24/11/2008
Warfare Incorporated,3.5,5931.0,0.0,,"Spiffcode, Inc.",9+,7705600.0,"Games, Strategy, Entertainment, Action",4/12/2008
Strategery,4.0,2798.0,1.99,,Affogato LLC,4+,15547392.0,"Games, Board, Strategy, Entertainment",9/12/2008
5x5 Shogi (MiniShogi) K55,4.0,16.0,2.99,,Yoshikazu Kakinoki,4+,3940352.0,"Games, Board, Strategy",11/12/2008
Deep Green Chess,4.0,483.0,7.99,,Cocoa Stuff,4+,99019776.0,"Games, Board, Strategy",9/12/2008
Jewel Lines,3.0,75.0,2.99,,"Software River Solutions, Inc",4+,5731328.0,"Games, Entertainment, Puzzle, Strategy",13/12/2008
Lux DLX 3 - Map Conquest Game,4.0,5629.0,4.99,,Sillysoft Games,9+,93993984.0,"Games, Strategy, Board, Entertainment",19/12/2008
ChartFight SP,3.0,2482.0,0.99,,Mutant Piano Software,4+,14894080.0,"Games, Strategy, Board",17/12/2008
Robo Logic,3.5,77.0,0.99,,digitalsirup GmbH,4+,5044648.0,"Games, Puzzle, Education, Strategy",15/12/2008
RoboLogic Lite,3.0,1461.0,0.0,,digitalsirup GmbH,4+,2584622.0,"Games, Strategy, Puzzle",3/01/2009
Kakinoki Shogi (Japanese Chess),4.0,75.0,4.99,,Yoshikazu Kakinoki,4+,18432000.0,"Games, Strategy, Board",19/01/2009
Kings Corners Free,2.5,1741.0,0.0,,"Ilium Software, Inc.",4+,2323719.0,"Games, Entertainment, Card, Strategy",22/01/2009
Flip Ninja,2.5,6.0,0.0,,Audacity Software Pte. Ltd.,4+,1112393.0,"Games, Strategy, Puzzle",16/01/2009
Gun Runner Wars,3.0,740.0,0.99,,CUBIC digital,9+,15541248.0,"Games, Finance, Strategy, Simulation",4/02/2009
Word Zapper,3.0,89.0,0.99,,NTP,4+,16785408.0,"Games, Strategy, Word, Entertainment",22/01/2009
Antivirus,3.0,187.0,0.0,1.99,DeadRatGames,9+,25563136.0,"Games, Entertainment, Simulation, Strategy",3/02/2009
Arcs,4.0,413.0,2.99,,Pomegranate Apps LLC,4+,5106688.0,"Games, Puzzle, Entertainment, Strategy",21/01/2009
Shogi Kifu,,,3.99,,Yoshikazu Kakinoki,4+,29797376.0,"Games, Strategy, Board",14/07/2011
Shogi Kifu,,,3.99,,Yoshikazu Kakinoki,4+,29797376.0,"Games, Strategy, Board",14/07/2011
Strategery Lite,3.5,9121.0,0.0,,Affogato LLC,4+,5421981.0,"Games, Entertainment, Board, Strategy",5/02/2009
Wedding Dash Deluxe,4.5,17056.0,0.99,"0.0, 0.99, 5.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",Glu Games Inc,4+,55803904.0,"Games, Strategy, Action, Entertainment",28/01/2009
Agency Wars Lite,2.5,17045.0,0.0,,MindJolt,4+,7543757.0,"Games, Entertainment, Strategy, Role Playing",14/03/2009
Touch Physics Lite,3.5,42210.0,0.0,,Gamez 4 Touch,4+,16556848.0,"Games, Puzzle, Strategy, Entertainment",1/02/2009
FIREWALL: Defender FREE,2.5,1156.0,0.0,,Solus Games,4+,6122222.0,"Games, Strategy, Entertainment, Puzzle",28/01/2009
PocketSports Football Lite,2.5,20234.0,0.0,,Solus Games,12+,4528173.0,"Games, Sports, Entertainment, Strategy",12/02/2009
BallSnare,3.5,7.0,0.99,,John Gregorek,4+,3824640.0,"Games, Entertainment, Casual, Strategy",6/02/2009
Wordology,3.5,125.0,2.99,,Cerebral Gardens,4+,98282496.0,"Games, Entertainment, Word, Strategy",28/02/2009
Omar Sharif Bridge,2.5,359.0,5.99,,ZingMagic Limited,4+,33982464.0,"Games, Card, Entertainment, Strategy",17/02/2009
PahJong Hurricane,3.0,6.0,0.99,,John Gregorek,4+,3134464.0,"Games, Entertainment, Casual, Strategy",16/02/2009
Wedding Dash,4.0,101209.0,0.0,"2.99, 2.99, 5.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.99, 0.99",Glu Games Inc,4+,58343424.0,"Games, Strategy, Action, Entertainment",18/02/2009
PahJong Tsunami,,,0.99,,John Gregorek,4+,2974720.0,"Games, Entertainment, Strategy, Casual",18/02/2009
Slay,3.0,4885.0,3.99,"9.99, 9.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","""Sean O'Connor""",9+,59016192.0,"Games, Board, Strategy",27/02/2009
Paintball II,2.0,84.0,2.99,,CrazySoft Limited,4+,6466560.0,"Games, Puzzle, Entertainment, Strategy",25/02/2009
Psarakia (Ice Fishing),3.5,13.0,2.99,,CrazySoft Limited,4+,4922368.0,"Games, Entertainment, Puzzle, Strategy",25/02/2009
Shogi Demon,3.5,27.0,2.99,,NUTRACTOR,17+,20957184.0,"Games, Strategy, Board",24/02/2009
Tiki Towers LITE,3.5,29495.0,0.0,,GameHouse,9+,39453539.0,"Games, Entertainment, Strategy, Puzzle",25/02/2009
Gun Runner +,2.5,5462.0,0.0,"0.99, 0.99, 0.99",CUBIC digital,9+,14125056.0,"Games, Entertainment, Adventure, Strategy",25/02/2009
Polycubes,3.5,19.0,0.0,,Voxeloid Kft.,4+,4472832.0,"Games, Strategy, Entertainment, Puzzle",7/03/2009
Port Defender\xae - 2D Field Defense,3.5,860.0,0.0,"0.99, 1.99, 0.99, 0.99",Michael Fuller,9+,84364288.0,"Games, Strategy, Action, Entertainment",27/03/2009
"""Sally's Spa""",4.5,35199.0,2.99,,Games Cafe Inc.,4+,500501504.0,"Games, Strategy, Entertainment, Action",8/04/2009
Port Defender\xae Lite - 2D Field Defense,3.0,5013.0,0.0,,Michael Fuller,9+,54787072.0,"Games, Strategy, Action, Entertainment",27/03/2009
"""Tap 'n' Pop Classic: Balloon Group Remove""",3.5,1119.0,2.99,,"Software River Solutions, Inc",4+,8881152.0,"Games, Entertainment, Strategy, Puzzle",27/03/2009
Conquest (+ all maps),3.5,2606.0,4.99,,"""Sean O'Connor""",9+,107105280.0,"Games, Board, Strategy",27/03/2009
Shredder Chess,4.5,863.0,3.99,,"Eiko Bleicher, Skizzix.com",4+,33033216.0,"Games, Board, Education, Strategy",27/03/2009
Wordology Lite,3.0,1926.0,0.0,,Cerebral Gardens,4+,108253184.0,"Games, Strategy, Entertainment, Word",27/03/2009
"Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)",2.5,1848.0,0.0,,Savy Soda,4+,1326164.0,"Games, Strategy, Board",27/03/2009
"""Tap 'n' Pop Classic (Lite): Balloon Group Remove""",3.0,24821.0,0.0,,"Software River Solutions, Inc",4+,14717952.0,"Games, Entertainment, Puzzle, Strategy",28/03/2009
Tournament Reversi Free,3.5,2503.0,0.0,,Futrell Software,4+,2582857.0,"Games, Board, Strategy, Entertainment",27/03/2009
Bloons,4.0,16693.0,0.99,,Ninja Kiwi,4+,5500291.0,"Games, Strategy, Puzzle",14/04/2009
Chess \u2219,3.5,191081.0,0.0,,Optime Software LLC,4+,65303552.0,"Games, Strategy, Entertainment, Board",18/04/2009
Chess Premium,4.0,2767.0,1.99,,Optime Software LLC,4+,30746624.0,"Games, Entertainment, Board, Strategy",23/04/2009
UniWar: Multiplayer Strategy,3.5,14073.0,0.0,"9.99, 2.99, 4.99, 19.99, 5.49, 23.49, 49.99, 36.99, 13.99, 99.99",SH Limited,9+,115074048.0,"Games, Entertainment, Strategy, Role Playing",14/04/2009
Pocket Tanks Deluxe,4.5,5543.0,4.99,"0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","Blitwise Productions, LLC",9+,39997440.0,"Games, Family, Strategy, Entertainment",15/04/2009
Castle Smasher,3.0,12659.0,0.99,,Donut Games,4+,10308608.0,"Games, Strategy, Action",14/04/2009
Pocket Tanks,4.0,90386.0,0.0,"4.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","Blitwise Productions, LLC",9+,43073536.0,"Games, Strategy, Family, Entertainment",15/04/2009
Inverti,3.0,40.0,0.0,,Frank LaRosa,4+,2004992.0,"Games, Board, Strategy",21/04/2009
Crystal Mine,2.0,353.0,0.0,,Modular Dreams Inc,4+,2818386.0,"Games, Casual, Strategy",3/05/2009
Nerve,2.5,47.0,0.0,,Mahboud Zabetian,4+,6994639.0,"Games, Strategy",28/04/2009
Pebbles,3.0,866.0,0.0,,Objective Development,4+,10136576.0,"Games, Strategy, Board, Entertainment",28/04/2009
AirTycoon - Airline Management,3.5,3416.0,0.0,,TRADEGAME Lab Inc.,4+,8646161.0,"Games, Strategy, Role Playing, Entertainment",29/04/2009
Jungle Crash Land,3.5,67670.0,0.99,,Donut Games,4+,7703552.0,"Games, Strategy, Action",1/05/2009
PortOfCallL,2.5,634.0,0.0,"0.99, 0.99",Dipl.-Ing. Rolf-Dieter Klein,4+,3396500.0,"Games, Strategy, Simulation",1/05/2009
"""Swap 'n Drop""",3.0,282.0,2.99,,CH4 Productions,4+,4225024.0,"Games, Puzzle, Strategy",3/05/2009
Boxed In,3.5,93235.0,0.99,"0.99, 0.99, 0.99, 1.99, 0.99, 2.99, 4.99, 0.99, 0.99, 0.99",Dennis Mengelt,4+,259371008.0,"Games, Strategy, Entertainment, Puzzle",6/05/2009
SmartGo Player,4.0,569.0,2.99,,"Smart Go, Inc.",4+,23805952.0,"Games, Entertainment, Board, Strategy",6/05/2009
Big 2 Classic,3.5,127.0,2.99,,38 Softworks Inc.,4+,3684352.0,"Games, Strategy, Card, Entertainment",7/05/2009
